t, u_learned, v_learned
0.000000000000000000e+00, 2.000000000000000000e+00, 1.000000000000000000e+00
4.809619238476953856e-02, 1.939171591709957454e+00, 9.996585349275859400e-01
9.619238476953907713e-02, 1.883670236680646370e+00, 9.994068809060299152e-01
1.442885771543086226e-01, 1.832848311499808869e+00, 9.992370561901311454e-01
1.923847695390781543e-01, 1.786158735490706695e+00, 9.991420397193215841e-01
2.404809619238476859e-01, 1.743136151378136267e+00, 9.991156233010045629e-01
2.885771543086172453e-01, 1.703382318889759217e+00, 9.991522921850768402e-01
3.366733466933867769e-01, 1.666554389662531666e+00, 9.992471254097732292e-01
3.847695390781563085e-01, 1.632355587574648936e+00, 9.993957138190524558e-01
4.328657314629258401e-01, 1.600527747611797169e+00, 9.995940920080698122e-01
4.809619238476953718e-01, 1.570845225804874179e+00, 9.998386808757154798e-01
5.290581162324649034e-01, 1.543109912302129683e+00, 1.000126239152138385e+00
5.771543086172344905e-01, 1.517147173458187837e+00, 1.000453822572868967e+00
6.252505010020039666e-01, 1.492802468837855612e+00, 1.000818748827555504e+00
6.733466933867735538e-01, 1.469938537881819940e+00, 1.001218567573330054e+00
7.214428857715430299e-01, 1.448433064377601776e+00, 1.001651034737050860e+00
7.695390781563126170e-01, 1.428176679778285330e+00, 1.002114090032889759e+00
8.176352705410822042e-01, 1.409071297080136898e+00, 1.002605837638916642e+00
8.657314629258516803e-01, 1.391028695224917788e+00, 1.003124529328198955e+00
9.138276553106212674e-01, 1.373969308179620263e+00, 1.003668549682832145e+00
9.619238476953907435e-01, 1.357821188616633146e+00, 1.004236403115578380e+00
1.010020040080160220e+00, 1.342519116734043116e+00, 1.004826702443401887e+00
1.058116232464929807e+00, 1.328003830532410667e+00, 1.005438158776091218e+00
1.106212424849699394e+00, 1.314221359906660336e+00, 1.006069572567850345e+00
1.154308617234468981e+00, 1.301122462348701880e+00, 1.006719825794762491e+00
1.202404809619238568e+00, 1.288662094371918920e+00, 1.007387874628590030e+00
1.250501002004007933e+00, 1.276798987187205858e+00, 1.008072743266336557e+00
1.298597194388777520e+00, 1.265495260170547587e+00, 1.008773518265936531e+00
1.346693386773547108e+00, 1.254716072584362685e+00, 1.009489343363218605e+00
1.394789579158316695e+00, 1.244429332318514714e+00, 1.010219414976859520e+00
1.442885771543086060e+00, 1.234605427428337343e+00, 1.010962978038212556e+00
1.490981963927855647e+00, 1.225216990126660965e+00, 1.011719322246048547e+00
1.539078156312625234e+00, 1.216238692053845272e+00, 1.012487778726603338e+00
1.587174348697394821e+00, 1.207647054687011723e+00, 1.013267716920960071e+00
1.635270541082164408e+00, 1.199420282960904638e+00, 1.014058541789479850e+00
1.683366733466933773e+00, 1.191538128372271910e+00, 1.014859691405425313e+00
1.731462925851703361e+00, 1.183981739107314635e+00, 1.015670634431597552e+00
1.779559118236472948e+00, 1.176733552789375636e+00, 1.016490868147659876e+00
1.827655310621242535e+00, 1.169777182475588928e+00, 1.017319916432807725e+00
1.875751503006011900e+00, 1.163097325921452985e+00, 1.018157328065960598e+00
1.923847695390781487e+00, 1.156679673119144880e+00, 1.019002675026080995e+00
1.971943887775551074e+00, 1.150510831001703815e+00, 1.019855551043098663e+00
2.020040080160320439e+00, 1.144578249433859440e+00, 1.020715570181791598e+00
2.068136272545090026e+00, 1.138870158002110111e+00, 1.021582365592196284e+00
2.116232464929859614e+00, 1.133375505941180306e+00, 1.022455588321136810e+00
2.164328657314629201e+00, 1.128083909148418718e+00, 1.023334906237430619e+00
2.212424849699398788e+00, 1.122985600869830014e+00, 1.024220003018888603e+00
2.260521042084168375e+00, 1.118071386990592275e+00, 1.025110577221564290e+00
2.308617234468937962e+00, 1.113332604120633507e+00, 1.026006341400314881e+00
2.356713426853707549e+00, 1.108761084258958585e+00, 1.026907021336861181e+00
2.404809619238477136e+00, 1.104349124840241725e+00, 1.027812355356213292e+00
2.452905811623246279e+00, 1.100089443834508129e+00, 1.028722093430709084e+00
2.501002004008015867e+00, 1.095975163200677782e+00, 1.029635996717964241e+00
2.549098196392785454e+00, 1.091999779311903396e+00, 1.030553836912551535e+00
2.597194388777555041e+00, 1.088157133173767388e+00, 1.031475395603745904e+00
2.645290581162324628e+00, 1.084441396906899335e+00, 1.032400463887300335e+00
2.693386773547094215e+00, 1.080847045134178952e+00, 1.033328841750106974e+00
2.741482965931863802e+00, 1.077368838728109512e+00, 1.034260337658011730e+00
2.789579158316633389e+00, 1.074001809306664779e+00, 1.035194768160752732e+00
2.837675350701402976e+00, 1.070741237113186139e+00, 1.036131957391861258e+00
2.885771543086172120e+00, 1.067582641113292929e+00, 1.037071736778892417e+00
2.933867735470941707e+00, 1.064521762493734647e+00, 1.038013944647409259e+00
2.981963927855711294e+00, 1.061554550266543329e+00, 1.038958425865124102e+00
3.030060120240480881e+00, 1.058677152336413130e+00, 1.039905031581540351e+00
3.078156312625250468e+00, 1.055885900649276232e+00, 1.040853618869143515e+00
3.126252505010020055e+00, 1.053177302479022082e+00, 1.041804050477005639e+00
3.174348697394789642e+00, 1.050548030588423165e+00, 1.042756194567145300e+00
3.222444889779559229e+00, 1.047994911609723356e+00, 1.043709924421792445e+00
3.270541082164328817e+00, 1.045514921597237912e+00, 1.044665118283406580e+00
3.318637274549097960e+00, 1.043105177808451689e+00, 1.045621659129226444e+00
3.366733466933867547e+00, 1.040762924838978254e+00, 1.046579434341160075e+00
3.414829659318637134e+00, 1.038485532117000565e+00, 1.047538335591914116e+00
3.462925851703406721e+00, 1.036270489325298305e+00, 1.048498258694440466e+00
3.511022044088176308e+00, 1.034115397537411773e+00, 1.049459103372641033e+00
3.559118236472945895e+00, 1.032017961118788962e+00, 1.050420773048664991e+00
3.607214428857715482e+00, 1.029975987183888941e+00, 1.051383174775889495e+00
3.655310621242485070e+00, 1.027987379144394087e+00, 1.052346219061414123e+00
3.703406813627254657e+00, 1.026050128445568754e+00, 1.053309819651406798e+00
3.751503006012023800e+00, 1.024162313342506403e+00, 1.054273893460662803e+00
3.799599198396793387e+00, 1.022322095017089483e+00, 1.055238360449819668e+00
3.847695390781562974e+00, 1.020527711721677555e+00, 1.056203143461648786e+00
3.895791583166332561e+00, 1.018777474586798348e+00, 1.057168168093665539e+00
3.943887775551102148e+00, 1.017069766341788473e+00, 1.058133362634457120e+00
3.991983967935871735e+00, 1.015403037092984073e+00, 1.059098657938027710e+00
4.040080160320640879e+00, 1.013775799406439360e+00, 1.060063987285466913e+00
4.088176352705410466e+00, 1.012186627368540037e+00, 1.061029286330779087e+00
4.136272545090180053e+00, 1.010634153652833156e+00, 1.061994493006387597e+00
4.184368737474949640e+00, 1.009117065616619957e+00, 1.062959547406747252e+00
4.232464929859719227e+00, 1.007634103112818647e+00, 1.063924391711733142e+00
4.280561122244488814e+00, 1.006184057002303289e+00, 1.064888970126830259e+00
4.328657314629258401e+00, 1.004765766201645372e+00, 1.065853228790490936e+00
4.376753507014027988e+00, 1.003378114438084223e+00, 1.066817115675505079e+00
4.424849699398797576e+00, 1.002020030310812659e+00, 1.067780580566981774e+00
4.472945891783567163e+00, 1.000690485017334819e+00, 1.068743574987495171e+00
4.521042084168336750e+00, 9.993884907046191035e-01, 1.069706052137223029e+00
4.569138276553106337e+00, 9.981130956117718611e-01, 1.070667966757842038e+00
4.617234468937875924e+00, 9.968633844543501876e-01, 1.071629275122392588e+00
4.665330661322645511e+00, 9.956384782738785244e-01, 1.072589935012918660e+00
4.713426853707415098e+00, 9.944375322035499121e-01, 1.073549905648832903e+00
4.761523046092184686e+00, 9.932597335611789147e-01, 1.074509147623443628e+00
4.809619238476954273e+00, 9.921042987054573548e-01, 1.075467622811031143e+00
4.857715430861722972e+00, 9.909704746541285747e-01, 1.076425294389907084e+00
4.905811623246492559e+00, 9.898575371392975830e-01, 1.077382126779624194e+00
4.953907815631262146e+00, 9.887647894744820976e-01, 1.078338085598341767e+00
5.002004008016031733e+00, 9.876915598811795149e-01, 1.079293137580707329e+00
5.050100200400801320e+00, 9.866372013905818639e-01, 1.080247250562498040e+00
5.098196392785570907e+00, 9.856010916396843458e-01, 1.081200393462920850e+00
5.146292585170340494e+00, 9.845826315183082711e-01, 1.082152536237674934e+00
5.194388777555110082e+00, 9.835812439785128758e-01, 1.083103649835741145e+00
5.242484969939879669e+00, 9.825963720552111091e-01, 1.084053706134450401e+00
5.290581162324649256e+00, 9.816274797328247148e-01, 1.085002677953976091e+00
5.338677354709418843e+00, 9.806740507230744530e-01, 1.085950539013930127e+00
5.386773547094188430e+00, 9.797355877031527216e-01, 1.086897263903017663e+00
5.434869739478958017e+00, 9.788116108096427403e-01, 1.087842828029327524e+00
5.482965931863727604e+00, 9.779016573817704838e-01, 1.088787207604082097e+00
5.531062124248497192e+00, 9.770052817410413981e-01, 1.089730379626655310e+00
5.579158316633266779e+00, 9.761220543491366808e-01, 1.090672321853390248e+00
5.627254509018036366e+00, 9.752515610619370001e-01, 1.091613012768613000e+00
5.675350701402805953e+00, 9.743934018836124533e-01, 1.092552431540982694e+00
5.723446893787574652e+00, 9.735471914094306900e-01, 1.093490558030085325e+00
5.771543086172344239e+00, 9.727125580169271313e-01, 1.094427372756071604e+00
5.819639278557113826e+00, 9.718891433704742733e-01, 1.095362856878746349e+00
5.867735470941883413e+00, 9.710766013636976668e-01, 1.096296992160078698e+00
5.915831663326653000e+00, 9.702745980247864388e-01, 1.097229760955538813e+00
5.963927855711422588e+00, 9.694828113909810252e-01, 1.098161146204674754e+00
6.012024048096192175e+00, 9.687009308853828937e-01, 1.099091131407029964e+00
6.060120240480961762e+00, 9.679286569326500667e-01, 1.100019700605331163e+00
6.108216432865731349e+00, 9.671657005787298589e-01, 1.100946838368920710e+00
6.156312625250500936e+00, 9.664117824550092495e-01, 1.101872529756142916e+00
6.204408817635270523e+00, 9.656666328102694319e-01, 1.102796760311338886e+00
6.252505010020040110e+00, 9.649299913855421407e-01, 1.103719516056907546e+00
6.300601202404809698e+00, 9.642016067872279939e-01, 1.104640783469305054e+00
6.348697394789579285e+00, 9.634812360733970849e-01, 1.105560549462082376e+00
6.396793587174348872e+00, 9.627686443687407669e-01, 1.106478801369910281e+00
6.444889779559118459e+00, 9.620636059955252062e-01, 1.107395526978114608e+00
6.492985971943888046e+00, 9.613659030708472386e-01, 1.108310714476505199e+00
6.541082164328657633e+00, 9.606753246640092891e-01, 1.109224352430099092e+00
6.589178356713427220e+00, 9.599916669456113327e-01, 1.110136429779658096e+00
6.637274549098195919e+00, 9.593147328658091499e-01, 1.111046935828261306e+00
6.685370741482965506e+00, 9.586443318648085743e-01, 1.111955860228901916e+00
6.733466933867735094e+00, 9.579802807372005402e-01, 1.112863193004598905e+00
6.781563126252504681e+00, 9.573224025004303250e-01, 1.113768924512570591e+00
6.829659318637274268e+00, 9.566705258368545239e-01, 1.114673045424619868e+00
6.877755511022043855e+00, 9.560244851931944954e-01, 1.115575546726081724e+00
6.925851703406813442e+00, 9.553841205530840819e-01, 1.116476419705683787e+00
6.973947895791583029e+00, 9.547492772266720218e-01, 1.117375655945949342e+00
7.022044088176352616e+00, 9.541198060147200177e-01, 1.118273247323426256e+00
7.070140280561122204e+00, 9.534955627103127718e-01, 1.119169185991774507e+00
7.118236472945891791e+00, 9.528764078319135189e-01, 1.120063464370946615e+00
7.166332665330661378e+00, 9.522622065406349812e-01, 1.120956075141228414e+00
7.214428857715430965e+00, 9.516528284621692535e-01, 1.121847011234865521e+00
7.262525050100200552e+00, 9.510481475261330919e-01, 1.122736265828476077e+00
7.310621242484970139e+00, 9.504480421090368836e-01, 1.123623832349188723e+00
7.358717434869739726e+00, 9.498523946245879257e-01, 1.124509704455821657e+00
7.406813627254509314e+00, 9.492610913363437319e-01, 1.125393876030120532e+00
7.454909819639278901e+00, 9.486740222983631732e-01, 1.126276341173802154e+00
7.503006012024047600e+00, 9.480910812261535980e-01, 1.127157094202469567e+00
7.551102204408817187e+00, 9.475121653699013491e-01, 1.128036129639479412e+00
7.599198396793586774e+00, 9.469371753538184944e-01, 1.128913442205123685e+00
7.647294589178356361e+00, 9.463660150918414837e-01, 1.129789026815368747e+00
7.695390781563125948e+00, 9.457985916748166133e-01, 1.130662878576663699e+00
7.743486973947895535e+00, 9.452348152475383847e-01, 1.131534992779213322e+00
7.791583166332665122e+00, 9.446745988969572627e-01, 1.132405364891492461e+00
7.839679358717434710e+00, 9.441178585424323533e-01, 1.133273990554882316e+00
7.887775551102204297e+00, 9.435645129949089549e-01, 1.134140865585256286e+00
7.935871743486973884e+00, 9.430144836701257471e-01, 1.135005985960401587e+00
7.983967935871743471e+00, 9.424676945513524862e-01, 1.135869347817530572e+00
8.032064128256513058e+00, 9.419240721010677664e-01, 1.136730947448903351e+00
8.080160320641281757e+00, 9.413835451736202176e-01, 1.137590781297437292e+00
8.128256513026052232e+00, 9.408460449399427272e-01, 1.138448845952838795e+00
8.176352705410820931e+00, 9.403115049342810616e-01, 1.139305138152879149e+00
8.224448897795591407e+00, 9.397798608149587896e-01, 1.140159654772668452e+00
8.272545090180360106e+00, 9.392510502972364339e-01, 1.141012392821177945e+00
8.320641282565130581e+00, 9.387250131062364611e-01, 1.141863349438620556e+00
8.368737474949899280e+00, 9.382016909024833984e-01, 1.142712521892697008e+00
8.416833667334669755e+00, 9.376810272091122833e-01, 1.143559907574927648e+00
8.464929859719438454e+00, 9.371629673407443351e-01, 1.144405503997070195e+00
8.513026052104208929e+00, 9.366474584502263445e-01, 1.145249308791838505e+00
8.561122244488977628e+00, 9.361344496032129037e-01, 1.146091319714658940e+00
8.609218436873748104e+00, 9.356238913436792926e-01, 1.146931534626979499e+00
8.657314629258516803e+00, 9.351157357968546968e-01, 1.147769951499104879e+00
8.705410821643287278e+00, 9.346099366233303618e-01, 1.148606568407656070e+00
8.753507014028055977e+00, 9.341064489673083227e-01, 1.149441383532843641e+00
8.801603206412824676e+00, 9.336052294070250612e-01, 1.150274395155845175e+00
8.849699398797595151e+00, 9.331062359081299107e-01, 1.151105601656289057e+00
8.897795591182363850e+00, 9.326094278087215805e-01, 1.151935001509954537e+00
8.945891783567134325e+00, 9.321147657496768879e-01, 1.152762593286361659e+00
8.993987975951903024e+00, 9.316222116256696051e-01, 1.153588375646535713e+00
9.042084168336673500e+00, 9.311317285581216519e-01, 1.154412347340949552e+00
9.090180360721442199e+00, 9.306432808597242534e-01, 1.155234507207530736e+00
9.138276553106212674e+00, 9.301568340011939773e-01, 1.156054854169773716e+00
9.186372745490981373e+00, 9.296723545802624278e-01, 1.156873387234955031e+00
9.234468937875751848e+00, 9.291898102283540073e-01, 1.157690105489541876e+00
9.282565130260520547e+00, 9.287091693804606640e-01, 1.158505008088427823e+00
9.330661322645291023e+00, 9.282304016084504950e-01, 1.159318094269604416e+00
9.378757515030059722e+00, 9.277534774721127864e-01, 1.160129363347068177e+00
9.426853707414830197e+00, 9.272783684709458019e-01, 1.160938814708279088e+00
9.474949899799598896e+00, 9.268050470181942169e-01, 1.161746447812627148e+00
9.523046092184369371e+00, 9.263334864166632432e-01, 1.162552262189982644e+00
9.571142284569138070e+00, 9.258636608361052733e-01, 1.163356257439320807e+00
9.619238476953908545e+00, 9.253955451238081720e-01, 1.164158433220241706e+00
9.667334669338677244e+00, 9.249291148568231646e-01, 1.164958789254803895e+00
9.715430861723445943e+00, 9.244643464770829766e-01, 1.165757325332901218e+00
9.763527054108216419e+00, 9.240012171689502285e-01, 1.166554041306663292e+00
9.811623246492985118e+00, 9.235397048386967400e-01, 1.167348937089208949e+00
9.859719438877755593e+00, 9.230797880953636181e-01, 1.168142012653470951e+00
9.907815631262524292e+00, 9.226214462330036836e-01, 1.168933268031083328e+00
9.955911823647294767e+00, 9.221646591886356603e-01, 1.169722703310159595e+00
1.000400801603206347e+01, 9.217094073477681837e-01, 1.170510318626077684e+00
1.005210420841683394e+01, 9.212556717793021210e-01, 1.171296114171977987e+00
1.010020040080160264e+01, 9.208034341674484757e-01, 1.172080090195357416e+00
1.014829659318637312e+01, 9.203526767657703722e-01, 1.172862246995681978e+00
1.019639278557114181e+01, 9.199033823815992994e-01, 1.173642584923397347e+00
1.024448897795591229e+01, 9.194555343614955190e-01, 1.174421104378991831e+00
1.029258517034068099e+01, 9.190091165777529714e-01, 1.175197805812110197e+00
1.034068136272545146e+01, 9.185641132397912578e-01, 1.175972689712110775e+00
1.038877755511022016e+01, 9.181205093055607724e-01, 1.176745756628520656e+00
1.043687374749499064e+01, 9.176782898235459340e-01, 1.177517007137476535e+00
1.048496993987975934e+01, 9.172374405057599489e-01, 1.178286441870400658e+00
1.053306613226452981e+01, 9.167979474909198068e-01, 1.179054061501953576e+00
1.058116232464929851e+01, 9.163597973357173743e-01, 1.179819866749395985e+00
1.062925851703406721e+01, 9.159229770060893783e-01, 1.180583858371948569e+00
1.067735470941883769e+01, 9.154874738610375706e-01, 1.181346037169818342e+00
1.072545090180360638e+01, 9.150532755227116510e-01, 1.182106403978104847e+00
1.077354709418837686e+01, 9.146203700208740406e-01, 1.182864959673056715e+00
1.082164328657314556e+01, 9.141887457799665606e-01, 1.183621705171241878e+00
1.086973947895791603e+01, 9.137583915750787655e-01, 1.184376641427321353e+00
1.091783567134268473e+01, 9.133292965222333804e-01, 1.185129769433364455e+00
1.096593186372745521e+01, 9.129014500686732925e-01, 1.185881090218166456e+00
1.101402805611222391e+01, 9.124748419831472113e-01, 1.186630604846564685e+00
1.106212424849699438e+01, 9.120494623461962158e-01, 1.187378314418755076e+00
1.111022044088176308e+01, 9.116253014881861017e-01, 1.188124220067338532e+00
1.115831663326653356e+01, 9.112023498944443745e-01, 1.188868322952937540e+00
1.120641282565130226e+01, 9.107805984156720491e-01, 1.189610624273077955e+00
1.125450901803607273e+01, 9.103600381657834806e-01, 1.190351125257488096e+00
1.130260521042084143e+01, 9.099406605034848772e-01, 1.191089827167037596e+00
1.135070140280561191e+01, 9.095224570213786830e-01, 1.191826731293002206e+00
1.139879759519038060e+01, 9.091054195350687372e-01, 1.192561838956329501e+00
1.144689378757514930e+01, 9.086895400722643235e-01, 1.193295151506904128e+00
1.149498997995991978e+01, 9.082748108637543893e-01, 1.194026670322917871e+00
1.154308617234468848e+01, 9.078612245136358228e-01, 1.194756396820315425e+00
1.159118236472945895e+01, 9.074487738344462207e-01, 1.195484332443406572e+00
1.163927855711422765e+01, 9.070374517412365112e-01, 1.196210478658788157e+00
1.168737474949899813e+01, 9.066272513313520243e-01, 1.196934836959706816e+00
1.173547094188376683e+01, 9.062181658751804481e-01, 1.197657408865416606e+00
1.178356713426853730e+01, 9.058101888069001184e-01, 1.198378195920537070e+00
1.183166332665330600e+01, 9.054033137152285304e-01, 1.199097199694410198e+00
1.187975951903807648e+01, 9.049975343341701839e-01, 1.199814421780458940e+00
1.192785571142284518e+01, 9.045928445883749669e-01, 1.200529863798534214e+00
1.197595190380761565e+01, 9.041892388360561750e-01, 1.201243527408079714e+00
1.202404809619238435e+01, 9.037867114176378891e-01, 1.201955414283283785e+00
1.207214428857715482e+01, 9.033852567768467789e-01, 1.202665526119573336e+00
1.212024048096192352e+01, 9.029848694919500041e-01, 1.203373864635188140e+00
1.216833667334669400e+01, 9.025855442688064390e-01, 1.204080431570665910e+00
1.221643286573146270e+01, 9.021872759339192305e-01, 1.204785228688324494e+00
1.226452905811623317e+01, 9.017900594274874670e-01, 1.205488257771746508e+00
1.231262525050100187e+01, 9.013938897964581809e-01, 1.206189520625263523e+00
1.236072144288577057e+01, 9.009987623133551837e-01, 1.206889019080281011e+00
1.240881763527054105e+01, 9.006046724558708361e-01, 1.207586754994030676e+00
1.245691382765530975e+01, 9.002116156891265542e-01, 1.208282730237587588e+00
1.250501002004008022e+01, 8.998195875802839083e-01, 1.208976946701965538e+00
1.255310621242484892e+01, 8.994285837937170403e-01, 1.209669406297717353e+00
1.260120240480961940e+01, 8.990386000856576132e-01, 1.210360110954505464e+00
1.264929859719438809e+01, 8.986496322988398733e-01, 1.211049062620671357e+00
1.269739478957915857e+01, 8.982616763571452667e-01, 1.211736263262806590e+00
1.274549098196392727e+01, 8.978747282737470359e-01, 1.212421714866100064e+00
1.279358717434869774e+01, 8.974887843153201983e-01, 1.213105419443657684e+00
1.284168336673346644e+01, 8.971038407686851013e-01, 1.213787379022963409e+00
1.288977955911823692e+01, 8.967198939571596750e-01, 1.214467595646697484e+00
1.293787575150300562e+01, 8.963369402794061358e-01, 1.215146071374848313e+00
1.298597194388777609e+01, 8.959549762054531685e-01, 1.215822808284362289e+00
1.303406813627254479e+01, 8.955739982727178861e-01, 1.216497808468793407e+00
1.308216432865731527e+01, 8.951940030820270122e-01, 1.217171074037953105e+00
1.313026052104208397e+01, 8.948149872936396187e-01, 1.217842607117560094e+00
1.317835671342685444e+01, 8.944369476945366326e-01, 1.218512409853068634e+00
1.322645290581162314e+01, 8.940598812663244077e-01, 1.219180484413532994e+00
1.327454909819639184e+01, 8.936837849178411730e-01, 1.219846832975811424e+00
1.332264529058116231e+01, 8.933086556058120742e-01, 1.220511457731523919e+00
1.337074148296593101e+01, 8.929344903384950349e-01, 1.221174360887148813e+00
1.341883767535070149e+01, 8.925612861722961311e-01, 1.221835544663707251e+00
1.346693386773547019e+01, 8.921890402083856308e-01, 1.222495011296447665e+00
1.351503006012024066e+01, 8.918177495893127027e-01, 1.223152763034530244e+00
1.356312625250500936e+01, 8.914474114956217887e-01, 1.223808802140711416e+00
1.361122244488977984e+01, 8.910780231424677567e-01, 1.224463130891028095e+00
1.365931863727454854e+01, 8.907095817762318291e-01, 1.225115751574482603e+00
1.370741482965931901e+01, 8.903420846744457551e-01, 1.225766666492926094e+00
1.375551102204408771e+01, 8.899755294431530572e-01, 1.226415877978863866e+00
1.380360721442885819e+01, 8.896099137154059866e-01, 1.227063388377177100e+00
1.385170340681362688e+01, 8.892452350046242682e-01, 1.227709200036176451e+00
1.389979959919839736e+01, 8.888814908609324883e-01, 1.228353315316909278e+00
1.394789579158316606e+01, 8.885186788689207749e-01, 1.228995736592913834e+00
1.399599198396793653e+01, 8.881567966454048113e-01, 1.229636466249972138e+00
1.404408817635270523e+01, 8.877958418371864058e-01, 1.230275506685863940e+00
1.409218436873747393e+01, 8.874358121188141713e-01, 1.230912860310119594e+00
1.414028056112224441e+01, 8.870767051903434286e-01, 1.231548529543774473e+00
1.418837675350701311e+01, 8.867185187750972197e-01, 1.232182516819120499e+00
1.423647294589178358e+01, 8.863612506174260997e-01, 1.232814824579462121e+00
1.428456913827655228e+01, 8.860048985137671806e-01, 1.233445455280967495e+00
1.433266533066132276e+01, 8.856494604851624652e-01, 1.234074411403444760e+00
1.438076152304609145e+01, 8.852949344534520870e-01, 1.234701695429814450e+00
1.442885771543086193e+01, 8.849413183326657606e-01, 1.235327309851768973e+00
1.447695390781563063e+01, 8.845886100600465207e-01, 1.235951257171622464e+00
1.452505010020040110e+01, 8.842368075944831984e-01, 1.236573539902107610e+00
1.457314629258516980e+01, 8.838859089149411208e-01, 1.237194160566171375e+00
1.462124248496994028e+01, 8.835359120188949200e-01, 1.237813121696770269e+00
1.466933867735470898e+01, 8.831868149207592333e-01, 1.238430425836666293e+00
1.471743486973947945e+01, 8.828386156503215121e-01, 1.239046075538223102e+00
1.476553106212424815e+01, 8.824913122511729435e-01, 1.239660073363201276e+00
1.481362725450901863e+01, 8.821449027791404829e-01, 1.240272421882554266e+00
1.486172344689378733e+01, 8.817993853750041300e-01, 1.240883123681180367e+00
1.490981963927855780e+01, 8.814547582763295752e-01, 1.241492181358612390e+00
1.495791583166332650e+01, 8.811110196377871517e-01, 1.242099597516930443e+00
1.500601202404809520e+01, 8.807681676272430815e-01, 1.242705374767073101e+00
1.505410821643286567e+01, 8.804262004264765684e-01, 1.243309515728786119e+00
1.510220440881763437e+01, 8.800851162300794561e-01, 1.243912023030448566e+00
1.515030060120240485e+01, 8.797449132443573294e-01, 1.244512899308901410e+00
1.519839679358717355e+01, 8.794055896862298383e-01, 1.245112147209272324e+00
1.524649298597194402e+01, 8.790671437821307999e-01, 1.245709769384804710e+00
1.529458917835671272e+01, 8.787295737669094109e-01, 1.246305768496684063e+00
1.534268537074148320e+01, 8.783928778827303496e-01, 1.246900147213864996e+00
1.539078156312625190e+01, 8.780570543822435736e-01, 1.247492908213209573e+00
1.543887775551102237e+01, 8.777221016436642653e-01, 1.248084054187802439e+00
1.548697394789579107e+01, 8.773880180247365379e-01, 1.248673587836189203e+00
1.553507014028056155e+01, 8.770548018495804010e-01, 1.249261511861323948e+00
1.558316633266533024e+01, 8.767224514521780865e-01, 1.249847828973652542e+00
1.563126252505010072e+01, 8.763909651756832675e-01, 1.250432541890969196e+00
