t, u_learned, v_learned
0.000000000000000000e+00, 2.000000000000000000e+00, 1.000000000000000000e+00
4.809619238476953856e-02, 1.938803314365795893e+00, 1.001631808712561966e+00
9.619238476953907713e-02, 1.882968930182534084e+00, 1.003253399466674356e+00
1.442885771543086226e-01, 1.831842209344613392e+00, 1.004864794995784738e+00
1.923847695390781543e-01, 1.784870614086351726e+00, 1.006466018669270213e+00
2.404809619238476859e-01, 1.741584506725753601e+00, 1.008057094480295346e+00
2.885771543086172453e-01, 1.701582270667141739e+00, 1.009638047034592923e+00
3.366733466933867769e-01, 1.664518378795655895e+00, 1.011208901539233374e+00
3.847695390781563085e-01, 1.630093915524232440e+00, 1.012769683791460595e+00
4.328657314629258401e-01, 1.598049007140562416e+00, 1.014320420167564851e+00
4.809619238476953718e-01, 1.568156631036299764e+00, 1.015861137611795417e+00
5.290581162324649034e-01, 1.540217567540603127e+00, 1.017391863625317194e+00
5.771543086172344905e-01, 1.514056286589435585e+00, 1.018912626255216392e+00
6.252505010020039666e-01, 1.489517521973706460e+00, 1.020423454083550396e+00
6.733466933867735538e-01, 1.466463426723429109e+00, 1.021924376216454267e+00
7.214428857715430299e-01, 1.444771208391858908e+00, 1.023415422273297182e+00
7.695390781563126170e-01, 1.424331115136530324e+00, 1.024896622375896404e+00
8.176352705410822042e-01, 1.405044750970098955e+00, 1.026368007137790084e+00
8.657314629258516803e-01, 1.386823646613558392e+00, 1.027829607653569566e+00
9.138276553106212674e-01, 1.369588038364276672e+00, 1.029281455488273878e+00
9.619238476953907435e-01, 1.353265822675529195e+00, 1.030723582666849714e+00
1.010020040080160220e+00, 1.337791658440223852e+00, 1.032156021663677370e+00
1.058116232464929807e+00, 1.323106190088318312e+00, 1.033578805392164401e+00
1.106212424849699394e+00, 1.309155379068157821e+00, 1.034991967194410778e+00
1.154308617234468981e+00, 1.295889931115953519e+00, 1.036395540830943096e+00
1.202404809619238568e+00, 1.283264770776396224e+00, 1.037789560470526284e+00
1.250501002004007933e+00, 1.271238608052712715e+00, 1.039174060680048362e+00
1.298597194388777520e+00, 1.259773553736855067e+00, 1.040549076414479357e+00
1.346693386773547108e+00, 1.248834767875720342e+00, 1.041914643006913721e+00
1.394789579158316695e+00, 1.238390165733860959e+00, 1.043270796158689118e+00
1.442885771543086060e+00, 1.228410150500930387e+00, 1.044617571929584487e+00
1.490981963927855647e+00, 1.218867373943718801e+00, 1.045955006728106484e+00
1.539078156312625234e+00, 1.209736531194800957e+00, 1.047283137301851408e+00
1.587174348697394821e+00, 1.200994171393130916e+00, 1.048602000727959505e+00
1.635270541082164408e+00, 1.192618529412742712e+00, 1.049911634403651206e+00
1.683366733466933773e+00, 1.184589390190660119e+00, 1.051212076036846854e+00
1.731462925851703361e+00, 1.176887933894511518e+00, 1.052503363636885680e+00
