tag,model_type,time_limit,true_params,learned_params
FBPINN,sg,0-10,1.0,0.9915
FBPINN,sg,10-24,1.0,0.9995
FBPINN,sg,0-24,1.0,0.9917
FBPINN,coexistence,0-10,[0.5 0.7 0.3 0.3 0.6],[0.59   0.6991 0.3004 0.2486 0.662 ]
FBPINN,coexistence,10-24,[0.5 0.7 0.3 0.3 0.6],[0.3266 0.4222 0.513  0.0313 0.809 ]
FBPINN,coexistence,0-24,[0.5 0.7 0.3 0.3 0.6],[0.4728 0.7313 0.2746 0.2969 0.6058]
FBPINN,survival,0-10,[0.5 0.3 0.6 0.7 0.3],[0.3761 0.3016 0.5902 0.8316 0.1883]
FBPINN,survival,10-24,[0.5 0.3 0.6 0.7 0.3],[0.5675 0.3002 0.3444 0.615  0.0271]
FBPINN,survival,0-24,[0.5 0.3 0.6 0.7 0.3],[0.0841 0.3005 0.5957 2.2219 0.0317]
