t, u_learned, v_learned
3.126252505010020055e+00, 1.306542265763257937e+00, 1.135057543089984078e+00
3.174348697394789642e+00, 1.301155822697605657e+00, 1.136278045428383177e+00
3.222444889779559229e+00, 1.295850478045101450e+00, 1.137479044153689500e+00
3.270541082164328817e+00, 1.290624583598293018e+00, 1.138660808029109850e+00
3.318637274549097960e+00, 1.285476540847336535e+00, 1.139823603580819800e+00
3.366733466933867547e+00, 1.280404796899275333e+00, 1.140967695045431940e+00
3.414829659318637134e+00, 1.275407843359080973e+00, 1.142093344344369266e+00
3.462925851703406721e+00, 1.270484216413233725e+00, 1.143200811070199663e+00
3.511022044088176308e+00, 1.265632494422752385e+00, 1.144290352453558368e+00
3.559118236472945895e+00, 1.260851295903506086e+00, 1.145362223333731944e+00
3.607214428857715482e+00, 1.256139276015644235e+00, 1.146416676114965671e+00
3.655310621242485070e+00, 1.251495128060308826e+00, 1.147453960777093052e+00
3.703406813627254657e+00, 1.246917581417150922e+00, 1.148474324850056627e+00
3.751503006012023800e+00, 1.242405400205220278e+00, 1.149478013397381204e+00
3.799599198396793387e+00, 1.237957380505638305e+00, 1.150465268980622291e+00
3.847695390781562974e+00, 1.233572350178220312e+00, 1.151436331660554258e+00
3.895791583166332561e+00, 1.229249168357406718e+00, 1.152391438995090445e+00
3.943887775551102148e+00, 1.224986724027228524e+00, 1.153330826025692257e+00
3.991983967935871735e+00, 1.220783934591425979e+00, 1.154254725262874315e+00
4.040080160320640879e+00, 1.216639744044902383e+00, 1.155163366665544977e+00
4.088176352705410466e+00, 1.212553123563478108e+00, 1.156056977663570517e+00
4.136272545090180053e+00, 1.208523070140572253e+00, 1.156935783146921359e+00
4.184368737474949640e+00, 1.204548605707568720e+00, 1.157800005463908155e+00
4.232464929859719227e+00, 1.200628775338641319e+00, 1.158649864400983054e+00
4.280561122244488814e+00, 1.196762647318965422e+00, 1.159485577201753159e+00
4.328657314629258401e+00, 1.192949312517330496e+00, 1.160307358572213010e+00
4.376753507014027988e+00, 1.189187883526427125e+00, 1.161115420681786858e+00
4.424849699398797576e+00, 1.185477493445488806e+00, 1.161909973154876763e+00
4.472945891783567163e+00, 1.181817294968831034e+00, 1.162691223070535074e+00
4.521042084168336750e+00, 1.178206460945981027e+00, 1.163459374999719964e+00
4.569138276553106337e+00, 1.174644183321555291e+00, 1.164214631002000067e+00
4.617234468937875924e+00, 1.171129672631174845e+00, 1.164957190636707551e+00
4.665330661322645511e+00, 1.167662157519707922e+00, 1.165687250974987377e+00
4.713426853707415098e+00, 1.164240882234679475e+00, 1.166405006556610280e+00
4.761523046092184686e+00, 1.160865107376140903e+00, 1.167110649436400527e+00
4.809619238476954273e+00, 1.157534110505779923e+00, 1.167804369227101624e+00
4.857715430861722972e+00, 1.154247184938079540e+00, 1.168486353092679675e+00
4.905811623246492559e+00, 1.151003639340623774e+00, 1.169156785764116968e+00
4.953907815631262146e+00, 1.147802797228778759e+00, 1.169815849551692821e+00
5.002004008016031733e+00, 1.144643995094832833e+00, 1.170463724310862208e+00
5.050100200400801320e+00, 1.141526583669014050e+00, 1.171100587514831037e+00
5.098196392785570907e+00, 1.138449927459227906e+00, 1.171726614268620903e+00
5.146292585170340494e+00, 1.135413404141798255e+00, 1.172341977318140938e+00
5.194388777555110082e+00, 1.132416404247654995e+00, 1.172946847069402665e+00
5.242484969939879669e+00, 1.129458330560293433e+00, 1.173541391596625072e+00
5.290581162324649256e+00, 1.126538596797296510e+00, 1.174125776622766404e+00
5.338677354709418843e+00, 1.123656628897231391e+00, 1.174700165600198742e+00
5.386773547094188430e+00, 1.120811864249972478e+00, 1.175264719712285633e+00
5.434869739478958017e+00, 1.118003751340026053e+00, 1.175819597890809476e+00
5.482965931863727604e+00, 1.115231749492577862e+00, 1.176364956837324227e+00
5.531062124248497192e+00, 1.112495328176763998e+00, 1.176900951024852482e+00
5.579158316633266779e+00, 1.109793966449482250e+00, 1.177427732705648822e+00
5.627254509018036366e+00, 1.107127153691843668e+00, 1.177945451975803692e+00
5.675350701402805953e+00, 1.104494388941787308e+00, 1.178454256777837550e+00
5.723446893787574652e+00, 1.101895180664987484e+00, 1.178954292922477665e+00
5.771543086172344239e+00, 1.099329046542398380e+00, 1.179445704111003357e+00
5.819639278557113826e+00, 1.096795512734652922e+00, 1.179928631930853955e+00
5.867735470941883413e+00, 1.094294113954766834e+00, 1.180403215891964619e+00
5.915831663326653000e+00, 1.091824393590233422e+00, 1.180869593465377676e+00
5.963927855711422588e+00, 1.089385903293750513e+00, 1.181327900094699901e+00
6.012024048096192175e+00, 1.086978202802857174e+00, 1.181778269218931143e+00
6.060120240480961762e+00, 1.084600859731225331e+00, 1.182220832293523927e+00
6.108216432865731349e+00, 1.082253448907609217e+00, 1.182655718787075649e+00
6.156312625250500936e+00, 1.079935552720532321e+00, 1.183083056231368113e+00
6.204408817635270523e+00, 1.077646760942025495e+00, 1.183502970243383023e+00
6.252505010020040110e+00, 1.075386670474500983e+00, 1.183915584542962529e+00
6.300601202404809698e+00, 1.073154885201617059e+00, 1.184321020975754202e+00
6.348697394789579285e+00, 1.070951015721432587e+00, 1.184719399529071460e+00
6.396793587174348872e+00, 1.068774678791248878e+00, 1.185110838330822869e+00
6.444889779559118459e+00, 1.066625497932175426e+00, 1.185495453715050163e+00
6.492985971943888046e+00, 1.064503103062449663e+00, 1.185873360231138207e+00
6.541082164328657633e+00, 1.062407130331448180e+00, 1.186244670664309497e+00
6.589178356713427220e+00, 1.060337222005528046e+00, 1.186609496058810054e+00
6.637274549098195919e+00, 1.058293026361625255e+00, 1.186967945741248087e+00
6.685370741482965506e+00, 1.056274197586245078e+00, 1.187320127343946208e+00
6.733466933867735094e+00, 1.054280394753951855e+00, 1.187666146774206899e+00
