4.802343563825233197e+00,4.802343563825233197e+00,3.082665654697041013e+00
4.801279525369468004e+00,4.801279525369468004e+00,2.922332219142604881e+00
4.800310963249541096e+00,4.800310963249541096e+00,2.768681437637835252e+00
4.799578390732614608e+00,4.799578390732614608e+00,2.621697438504580369e+00
4.799050652405616901e+00,4.799050652405616901e+00,2.481346732052588155e+00
4.798632075303269851e+00,4.798632075303269851e+00,2.347581378887414694e+00
4.798280742230795148e+00,4.798280742230795148e+00,2.220335143613535234e+00
4.797979765796528184e+00,4.797979765796528184e+00,2.099523237980192913e+00
4.797721318466019014e+00,4.797721318466019014e+00,1.985043057450895265e+00
4.797501225290567106e+00,4.797501225290567106e+00,1.876775193422092203e+00
4.797316963345544139e+00,4.797316963345544139e+00,1.774584601647702709e+00
4.797166820178556002e+00,4.797166820178556002e+00,1.678321882049489178e+00
4.797049499352141311e+00,4.797049499352141311e+00,1.587824636657702682e+00
4.796963919281039601e+00,4.796963919281039601e+00,1.502918875421143108e+00
4.796909103797283080e+00,4.796909103797283080e+00,1.423420441780916201e+00
4.796884119607056185e+00,4.796884119607056185e+00,1.349136432631680371e+00
4.796888039200679188e+00,4.796888039200679188e+00,1.279866590803847348e+00
4.796919918306819852e+00,4.796919918306819852e+00,1.215404652358785142e+00
4.796978782085655979e+00,4.796978782085655979e+00,1.155539635537573329e+00
4.797063616881817261e+00,4.797063616881817261e+00,1.100057062835173349e+00
4.797173365766998820e+00,4.797173365766998820e+00,1.048740112076948616e+00
4.797306926872225930e+00,4.797306926872225930e+00,1.001370696277922301e+00
4.797463153926861956e+00,4.797463153926861956e+00,9.577304752519195663e-01
4.797640858638469119e+00,4.797640858638469119e+00,9.176018042708548039e-01
4.797838814653257344e+00,4.797838814653257344e+00,8.807686265004748272e-01
4.798055762884800401e+00,4.798055762884800401e+00,8.470173164797183407e-01
4.798290418020632053e+00,4.798290418020632053e+00,8.161374816439561641e-01
4.798541476029103414e+00,4.798541476029103414e+00,7.879227279259690686e-01
4.798807622497813341e+00,4.798807622497813341e+00,7.621713939216587796e-01
4.799087541639361909e+00,4.799087541639361909e+00,7.386872561022477246e-01
4.799379925796617208e+00,4.799379925796617208e+00,7.172802052218164581e-01
4.799683485266212024e+00,4.799683485266212024e+00,6.977668915606550781e-01
4.799996958236595113e+00,4.799996958236595113e+00,6.799713341440603021e-01
4.800319120610384793e+00,4.800319120610384793e+00,6.637254867940762804e-01
4.800648795457011175e+00,4.800648795457011175e+00,6.488697520300148458e-01
